Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage,Elev,IGBP,MATemp_C,MAPrecip_mm
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,1092.0385,10.549119999999998,-1092.362,-7.217983,593,2,0.81,424,GRA,NA,NA
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,682.531,8.282037500000001,-636.6091,-4.914707999999999,2886,10,0.79,314,CRO,14.76,843
US-Blo,Blodgett Forest,38.8953,-120.6328,1514.8705454545454,9.083095499999995,-755.8415454545454,-5.736448,3984,11,0.99,1315,ENF,11.09,1226
US-Cop,Corral Pocket,38.09,-109.39,96.38808,1.2227394999999999,-60.37768,-0.45738639999999997,1490,5,0.82,1520,GRA,NA,NA
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,658.568,5.3172225,-160.56854333333334,-2.999453,1008,3,0.92,3191,ENF,0.8,1200
US-GLE,GLEES,41.3665,-106.2399,643.826375,6.930097999999999,-693.459125,-5.557574,2169,8,0.74,3197,ENF,0.8,1200
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,1422.4176818181818,13.559149999999999,-1207.5469090909091,-7.264885,6687,22,0.83,340,DBF,6.62,1071
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,1830.275,8.058014,-1538.0725,-6.62728,1457,4,1,3,CSH,21.66,1294
US-Los,Lost Creek,46.0827,-89.9792,892.6771818181818,9.0111275,-868.4278181818182,-6.3643089999999995,3008,11,0.75,480,WET,4.08,828
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,791.3125,4.711995,-695.559,-4.06292,727,2,0.99,896,ENF,7.88,704.61
US-Me2,Metolius mature ponderosa pine,44.4523,-121.5574,1671.7907692307692,10.0479,-1117.7657692307694,-8.6911115,4581,13,0.96,1253,ENF,6.28,523
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,959.4868,6.1481145,-712.007,-4.8332975000000005,1808,5,0.99,998,ENF,7.59,494
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,1723.480625,14.422270000000001,-1293.575625,-7.9413045,4402,16,0.75,275,DBF,10.85,1032
US-Myb,Mayberry Wetland,38.0498,-121.7651,1466.481,12.793279999999996,-1394.478,-9.7146,1273,4,0.87,-4,WET,15.9,338
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,1519.2896,23.905474999999996,-1251.1494,-10.60128,2422,10,0.66,361,CRO,10.07,790.37
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,1406.1546363636364,23.787399999999998,-1106.4408181818183,-9.736498,2611,11,0.65,362,CRO,10.08,788.89
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,1222.819,19.778729999999996,-965.967,-8.433408,2979,12,0.68,363,CRO,10.11,783.68
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,844.2536875,6.66925,-673.40625,-4.938446,4797,16,0.82,3050,ENF,1.5,800
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,887.643,7.273132,-625.39,-3.5024480000000002,315,1,0.86,221,WET,11.63,1499.1
US-PFa,Park Falls/WLEF,45.9459,-90.2723,997.8318421052631,10.055185000000002,-987.6527894736843,-8.348776,5570,19,0.8,470,MF,4.33,823
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,403.2541,4.471519999999999,-283.808,-2.4832965,1025,4,0.7,210,ENF,-2,275
US-SRG,Santa Rita Grassland,31.7894,-110.8277,422.65585714285714,5.390975499999998,-412.2288571428571,-3.6470140000000004,2300,7,0.9,1291,GRA,17,420
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,282.7400909090909,3.735056499999997,-313.3673636363636,-2.6121905000000005,3288,11,0.82,1120,WSA,17.92,380
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,1368.044,12.61625,-1346.3486,-10.652004999999999,3094,10,0.85,540,MF,3.81,826
US-Ton,Tonzi Ranch,38.4316,-120.966,894.8720714285714,7.019215999999997,-747.8496428571428,-5.023121999999999,4827,14,0.94,177,WSA,15.8,559
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,2379.983333333333,13.76821,-1428.51,-6.7838674999999995,1019,3,0.93,-5,WET,15.5,421
US-Tw2,Twitchell Corn,38.1047,-121.6433,891.6305,13.843490000000005,-1718.415,-9.675920000000001,559,2,0.76,-5,CRO,15.5,421
US-Tw3,Twitchell Alfalfa,38.1159,-121.6467,3041.0950000000003,15.203859999999999,-2284.81,-9.3013345,710,2,0.97,-4,CRO,15.6,421
US-Tw4,Twitchell East End Wetland,38.103,-121.6414,796.518,5.801469999999998,-1388.1015,-7.15778,653,2,0.89,-5,WET,15.6,421
US-Twt,Twitchell Island,38.1087,-121.653,1348.4516666666666,15.555539999999999,-1443.8516666666667,-8.89137,1705,6,0.78,-7,CRO,15.6,421
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,1290.49,12.366729999999999,-1022.8182666666667,-6.621098,4399,15,0.8,234,DBF,5.83,803
US-UMd,UMBS Disturbance,45.5625,-84.6975,1478.8125,12.50734,-1076.725,-6.628834,2407,8,0.82,239,DBF,5.83,803
US-Var,Vaira Ranch- Ione,38.4133,-120.9507,734.6621818181818,8.9814825,-763.9564545454546,-5.832545,2754,11,0.69,129,GRA,15.8,559
US-WCr,Willow Creek,45.8059,-90.0799,1148.6145833333333,13.310409999999997,-891.6874166666666,-6.940298,3020,12,0.69,520,DBF,4.02,787
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,220.6415,2.5299309999999995,-188.889,-1.713597,563,2,0.77,1370,OSH,17.6,320
US-Wi0,Young red pine (YRP),46.6188,-91.0814,1577.59,10.391369999999997,-800.739,-5.744046000000001,364,1,1,349,ENF,NA,NA
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,1264.905,12.17035,-391.5305,-3.77383,611,2,0.84,411,DBF,NA,NA
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,1873.635,10.4734,-552.967,-4.34605,1451,4,0.99,352,ENF,NA,NA
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,558.7905000000001,6.0488525,-390.1465,-2.6333515,586,2,0.8,371,OSH,NA,NA
US-Wi9,Young Jack pine (YJP),46.6188,-91.0814,892.4185,6.3117175,-424.3415,-3.53866,696,2,0.95,350,ENF,NA,NA
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,239.61253,3.4546015,-232.9874,-2.1786380000000003,2790,10,0.76,1531,GRA,15.64,407
ZM-Mon,Mongu,-15.4378,23.2528,1402.03925,8.099247,-1582.317,-8.2550035,1458,4,1,1053,DBF,25,945
